City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
36,vardo,NO,70.3705,31.1107,43.27,73,82,11.65,broken clouds
37,tyulgan,RU,52.3405,56.166,42.3,59,43,3.47,scattered clouds
38,airai,TL,-8.9266,125.4092,57.24,80,87,1.95,overcast clouds
39,noumea,NC,-22.2763,166.4572,64.38,58,29,9.75,scattered clouds
40,tasiilaq,GL,65.6145,-37.6368,39.36,67,100,11.83,overcast clouds
41,aden,YE,12.7794,45.0367,87.49,71,79,8.41,broken clouds
42,kapaa,US,22.0752,-159.319,81.48,71,20,4.0,light rain
43,nalut,LY,30.3333,10.85,85.1,40,31,15.5,scattered clouds
44,waingapu,ID,-9.6567,120.2641,75.83,78,40,4.68,scattered clouds
45,mana,GF,5.6592,-53.7767,81.03,78,5,11.23,clear sky
46,atuona,PF,-9.8,-139.0333,78.04,76,22,16.26,few clouds
47,tautira,PF,-17.7333,-149.15,80.62,62,33,11.99,scattered clouds
48,morondava,MG,-20.2833,44.2833,75.0,49,0,15.9,clear sky
49,hurricane,US,37.1753,-113.2899,97.14,21,8,12.57,clear sky
50,pisco,PE,-13.7,-76.2167,64.45,72,0,11.5,clear sky
51,yerbogachen,RU,61.2767,108.0108,42.26,77,100,1.63,overcast clouds
52,alice springs,AU,-23.7,133.8833,53.15,37,0,6.91,clear sky
53,parana,AR,-31.732,-60.5238,74.55,51,7,12.41,clear sky
54,ribeira grande,PT,38.5167,-28.7,70.2,73,40,6.91,scattered clouds
55,severo-kurilsk,RU,50.6789,156.125,48.97,75,100,8.95,overcast clouds
56,port alfred,ZA,-33.5906,26.891,67.35,89,8,20.02,clear sky
57,talnakh,RU,69.4865,88.3972,43.65,94,100,12.21,light rain
58,siocon,PH,7.7061,122.1353,78.12,89,100,5.1,overcast clouds
59,grindavik,IS,63.8424,-22.4338,49.95,71,75,5.75,broken clouds
60,saldanha,ZA,-33.0117,17.9442,59.05,96,100,8.99,overcast clouds
61,kavieng,PG,-2.5744,150.7967,81.5,75,91,4.12,overcast clouds
62,rudbar,AF,30.15,62.6,75.79,24,0,9.46,clear sky
63,beringovskiy,RU,63.05,179.3167,36.61,98,100,22.82,moderate rain
64,mataura,NZ,-46.1927,168.8643,51.48,75,100,5.99,overcast clouds
65,antofagasta,CL,-23.65,-70.4,58.28,75,100,5.26,overcast clouds
66,san policarpo,PH,12.1791,125.5072,80.6,84,100,7.4,overcast clouds
67,tual,ID,-5.6667,132.75,79.79,84,93,12.64,overcast clouds
68,bluff,NZ,-46.6,168.3333,51.8,67,85,24.14,overcast clouds
69,upernavik,GL,72.7868,-56.1549,25.84,51,0,8.3,clear sky
70,acapulco,MX,16.8634,-99.8901,85.82,74,90,2.3,overcast clouds
71,lompoc,US,34.6391,-120.4579,89.78,73,1,17.27,clear sky
72,salalah,OM,17.0151,54.0924,80.69,94,75,4.61,broken clouds
73,inhambane,MZ,-23.865,35.3833,68.13,68,44,7.63,scattered clouds
74,mersing,MY,2.4312,103.8405,75.11,100,84,4.61,broken clouds
75,sitka,US,57.0531,-135.33,57.09,88,90,9.22,mist
76,carrefour,HT,18.5411,-72.3992,89.78,62,40,14.97,scattered clouds
77,dikson,RU,73.5069,80.5464,40.84,91,100,12.57,overcast clouds
78,cidreira,BR,-30.1811,-50.2056,61.77,78,1,7.49,clear sky
79,bethel,US,41.3712,-73.414,77.41,55,1,11.5,clear sky
80,campbell river,CA,50.0163,-125.2446,58.53,97,90,1.01,mist
81,hobart,AU,-42.8794,147.3294,43.27,83,75,1.99,broken clouds
82,saucillo,MX,28.0167,-105.2833,90.55,17,0,12.5,clear sky
83,kaupanger,NO,61.1845,7.2404,59.09,97,100,0.67,overcast clouds
84,ponta do sol,PT,32.6667,-17.1,78.01,83,22,6.93,few clouds
85,auki,SB,-8.7676,160.7034,79.75,79,33,4.61,scattered clouds
86,hamilton,US,39.1834,-84.5333,83.21,55,75,3.0,broken clouds
87,la asuncion,VE,11.0333,-63.8628,98.33,44,100,13.8,overcast clouds
88,hanna,CA,51.6334,-111.9018,58.51,89,100,3.0,overcast clouds
89,kodiak,US,57.79,-152.4072,53.11,58,1,3.44,clear sky
90,choya,RU,52.0108,86.5467,62.31,36,100,8.97,overcast clouds
91,progreso,MX,21.2833,-89.6667,85.1,55,100,10.74,overcast clouds
92,saint-philippe,RE,-21.3585,55.7679,69.35,81,29,13.56,light rain
93,jiwani,PK,25.05,61.7417,80.06,89,100,8.03,overcast clouds
94,aklavik,CA,68.2191,-135.0107,52.52,76,75,5.75,broken clouds
95,georgetown,MY,5.4112,100.3354,78.73,89,20,3.44,few clouds
96,longyearbyen,SJ,78.2186,15.6401,31.84,74,20,3.44,few clouds
97,filadelfia,US,39.9523,-75.1638,80.51,48,75,5.99,broken clouds
98,atar,MR,20.5169,-13.0499,82.09,55,99,5.48,overcast clouds
99,port elizabeth,ZA,-33.918,25.5701,61.11,94,90,17.27,overcast clouds
100,khatanga,RU,71.9667,102.5,40.6,71,9,7.83,clear sky
101,dingle,PH,10.9995,122.6711,75.33,88,100,1.03,overcast clouds
102,torbay,CA,47.6666,-52.7314,66.58,72,20,23.02,few clouds
103,thunder bay,CA,48.4001,-89.3168,71.51,39,40,16.11,scattered clouds
104,dawlatabad,AF,36.4141,64.9053,65.86,15,0,3.06,clear sky
105,ayan,RU,56.45,138.1667,54.21,81,91,14.05,light rain
106,kroya,ID,-7.6331,109.2461,76.73,89,100,10.51,overcast clouds
107,albany,US,42.6001,-73.9662,77.04,52,15,6.24,few clouds
108,novopskov,UA,49.5464,39.0899,68.68,50,98,6.91,overcast clouds
109,esperance,AU,-33.8667,121.9,51.64,63,89,9.44,overcast clouds
110,butaritari,KI,3.0707,172.7902,83.5,75,19,19.69,few clouds
111,gillette,US,44.2911,-105.5022,85.24,29,1,10.0,clear sky
112,balikpapan,ID,-1.2675,116.8289,74.75,93,100,4.52,light rain
113,geraldton,AU,-28.7667,114.6,41.41,93,0,3.44,clear sky
114,verkh-usugli,RU,52.7,115.1667,46.96,99,100,1.5,light rain
115,henties bay,NA,-22.116,14.2845,58.17,76,1,8.61,clear sky
116,chokurdakh,RU,70.6333,147.9167,37.04,67,100,14.29,overcast clouds
117,shar,KZ,49.5886,81.0453,58.17,44,100,5.32,overcast clouds
118,pauini,BR,-7.7136,-66.9764,88.03,51,93,2.86,overcast clouds
119,sri aman,MY,1.2376,111.4621,77.05,94,100,2.3,light rain
120,provideniya,RU,64.3833,-173.3,43.86,73,100,9.82,overcast clouds
121,barrow,US,71.2906,-156.7887,37.42,93,90,6.91,overcast clouds
122,guane,CU,22.2025,-84.0875,87.84,57,46,10.58,scattered clouds
123,bilibino,RU,68.0546,166.4372,22.84,84,18,5.26,few clouds
124,grand gaube,MU,-20.0064,57.6608,72.0,73,75,10.0,broken clouds
125,arraial do cabo,BR,-22.9661,-42.0278,71.56,94,75,10.36,light rain
126,mulki,IN,13.1,74.8,76.28,94,90,6.91,moderate rain
127,paamiut,GL,61.994,-49.6678,44.8,96,100,11.74,moderate rain
128,mount darwin,ZW,-16.7725,31.5838,54.72,67,27,4.14,scattered clouds
129,mayo,US,38.8876,-76.5119,82.11,55,40,5.01,scattered clouds
130,castro,BR,-24.7911,-50.0119,61.7,88,96,3.62,overcast clouds
131,saint george,US,37.1041,-113.5841,101.62,22,1,3.0,clear sky
132,comodoro rivadavia,AR,-45.8667,-67.5,51.66,76,20,8.05,light rain
133,constitucion,CL,-35.3333,-72.4167,53.96,94,100,30.62,overcast clouds
134,homnabad,IN,17.7667,77.1333,71.06,92,100,13.65,overcast clouds
135,nanortalik,GL,60.1432,-45.2371,42.04,79,100,21.07,light rain
136,katangli,RU,51.7102,143.2326,50.59,86,100,17.36,overcast clouds
137,aloleng,PH,16.1307,119.7824,80.1,87,100,17.72,heavy intensity rain
138,hithadhoo,MV,-0.6,73.0833,82.53,70,98,7.72,overcast clouds
139,lebu,CL,-37.6167,-73.65,51.82,87,100,30.96,overcast clouds
140,barra,BR,-11.0894,-43.1417,87.53,32,17,7.52,few clouds
141,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,30.79,80,0,6.71,clear sky
142,barentu,ER,15.1139,37.5928,72.63,68,100,5.08,overcast clouds
143,lima,PE,-12.0432,-77.0282,61.05,72,90,12.66,overcast clouds
144,ancud,CL,-41.8697,-73.8203,51.42,91,100,18.37,light rain
145,paralimni,CY,35.0375,33.9833,77.88,74,0,8.01,clear sky
146,coquimbo,CL,-29.9533,-71.3436,58.73,67,75,14.97,broken clouds
147,vestmannaeyjar,IS,63.4427,-20.2734,51.39,82,8,10.16,clear sky
148,chuy,UY,-33.6971,-53.4616,56.46,92,49,5.84,scattered clouds
149,san patricio,US,28.017,-97.5169,95.09,47,7,15.57,clear sky
150,camacha,PT,33.0833,-16.3333,74.62,73,40,6.91,scattered clouds
151,awjilah,LY,29.1081,21.2869,90.68,25,0,9.42,clear sky
152,qianan,CN,44.9932,124.0581,48.51,85,1,3.27,clear sky
153,lichuan,CN,30.3,108.85,62.85,81,75,2.53,light rain
154,andra,RU,62.5147,65.8878,38.75,97,100,17.02,moderate rain
155,taoudenni,ML,22.6783,-3.9836,102.67,9,33,8.63,scattered clouds
156,washougal,US,45.5826,-122.3534,80.46,39,1,0.0,clear sky
157,puerto ayora,EC,-0.7393,-90.3518,76.96,84,95,8.01,overcast clouds
158,nara,JP,34.6851,135.8049,74.52,79,100,2.06,overcast clouds
159,hearst,CA,49.6835,-83.6665,61.05,73,45,13.09,scattered clouds
160,longonjo,AO,-12.9067,15.2533,69.84,25,88,4.07,overcast clouds
161,kafanchan,NG,9.5833,8.3,76.17,96,30,1.83,light rain
162,konevo,RU,62.1215,39.3192,41.68,95,54,4.07,broken clouds
163,moissac,FR,44.1024,1.0945,72.55,70,55,2.75,broken clouds
164,pevek,RU,69.7008,170.3133,29.46,77,100,14.63,overcast clouds
165,portland,US,45.5234,-122.6762,79.84,40,75,1.01,broken clouds
166,shakawe,BW,-18.3667,21.85,65.37,31,0,6.71,clear sky
167,san matias,BO,-16.3667,-58.4,98.65,24,29,2.42,scattered clouds
168,oxford,GB,51.7522,-1.256,62.49,80,0,6.91,clear sky
169,douglas,US,41.3,-96.167,92.5,47,1,11.5,clear sky
170,lagoa,PT,39.05,-27.9833,69.12,73,100,20.74,overcast clouds
171,kaitangata,NZ,-46.2817,169.8464,46.13,74,100,6.02,overcast clouds
172,ulcinj,ME,41.9294,19.2244,71.82,75,100,2.82,overcast clouds
173,bayir,TR,37.2687,28.2167,63.12,37,0,4.38,clear sky
174,pailon,BO,-17.65,-62.75,88.7,25,0,12.06,clear sky
175,tura,IN,25.5198,90.2201,75.2,92,100,2.71,overcast clouds
176,mandera,KE,3.9366,41.867,80.47,57,23,21.61,few clouds
177,rocha,UY,-34.4833,-54.3333,58.39,89,82,6.69,broken clouds
178,lorengau,PG,-2.0226,147.2712,80.91,78,97,8.23,overcast clouds
179,mattru,SL,7.6244,-11.8332,73.85,97,100,3.87,moderate rain
180,kurud,IN,20.8322,81.7214,73.96,93,95,4.68,overcast clouds
181,laguna,US,38.421,-121.4238,95.22,33,1,1.99,clear sky
182,northam,GB,51.0333,-4.2167,60.66,90,34,5.66,scattered clouds
183,seymchan,RU,62.8833,152.4333,35.51,60,96,0.69,overcast clouds
184,bandarbeyla,SO,9.4942,50.8122,78.44,82,100,33.06,overcast clouds
185,saraland,US,30.8207,-88.0706,89.56,56,0,6.82,clear sky
186,norman wells,CA,65.282,-126.8329,55.44,76,75,4.61,broken clouds
187,port lincoln,AU,-34.7333,135.8667,51.6,66,39,22.3,scattered clouds
188,hay river,CA,60.8156,-115.7999,55.38,71,75,8.05,light rain
189,sorgun,TR,39.8101,35.186,60.37,69,64,6.2,broken clouds
190,burkburnett,US,34.0979,-98.5706,97.72,28,1,1.99,clear sky
191,lubango,AO,-14.9172,13.4925,65.53,21,7,4.45,clear sky
192,honiara,SB,-9.4333,159.95,80.44,78,32,7.92,scattered clouds
193,coahuayana,MX,18.7333,-103.6833,89.42,66,21,6.55,few clouds
194,losser,NL,52.2608,7.0042,64.78,92,100,1.01,overcast clouds
195,tuatapere,NZ,-46.1333,167.6833,51.82,76,91,11.99,overcast clouds
196,rocky mountain house,CA,52.3668,-114.9188,60.91,67,85,4.61,overcast clouds
197,skelleftea,SE,64.7507,20.9528,50.0,69,90,3.44,overcast clouds
198,naze,JP,28.3667,129.4833,77.81,83,100,4.52,overcast clouds
199,sabha,LY,27.0377,14.4283,89.73,18,0,9.89,clear sky
200,kavaratti,IN,10.5669,72.642,81.77,80,100,19.84,overcast clouds
201,belyy yar,RU,53.6039,91.3903,51.69,71,0,2.24,clear sky
202,khandyga,RU,62.6667,135.6,40.33,77,28,0.74,scattered clouds
203,luderitz,NA,-26.6481,15.1594,58.33,69,13,11.32,few clouds
204,thinadhoo,MV,0.5333,72.9333,83.35,67,100,6.71,overcast clouds
205,okhotsk,RU,59.3833,143.3,47.35,71,0,5.55,clear sky
206,morant bay,JM,17.8815,-76.4093,89.62,68,91,11.25,overcast clouds
207,cabo san lucas,MX,22.8909,-109.9124,88.18,74,20,10.36,few clouds
208,marrakesh,MA,31.6315,-8.0083,87.87,42,20,5.75,few clouds
209,benguela,AO,-12.5763,13.4055,72.7,87,100,3.67,overcast clouds
210,bulgan,MN,48.8125,103.5347,41.22,91,2,1.1,clear sky
211,qasigiannguit,GL,68.8193,-51.1922,30.45,66,0,2.3,clear sky
212,mar del plata,AR,-38.0023,-57.5575,53.62,100,90,14.97,overcast clouds
213,klaksvik,FO,62.2266,-6.589,49.12,80,92,7.99,overcast clouds
214,quatre cocos,MU,-20.2078,57.7625,71.71,78,68,18.57,light rain
215,orvieto,IT,42.7195,12.1116,71.29,72,27,1.68,scattered clouds
216,talavera de la reina,ES,39.9635,-4.8308,70.23,50,27,3.38,scattered clouds
217,rovnoye,RU,50.7765,46.0509,58.44,51,4,5.95,clear sky
218,batagay-alyta,RU,67.8006,130.4114,41.95,58,16,2.21,few clouds
219,anchorage,US,61.2181,-149.9003,60.31,82,1,4.61,clear sky
220,saint-francois,FR,46.4154,3.9054,58.48,94,0,0.0,clear sky
221,te anau,NZ,-45.4167,167.7167,44.02,94,91,10.25,moderate rain
222,biak,ID,-0.9131,122.8766,75.15,88,100,0.85,overcast clouds
223,olafsvik,IS,64.8945,-23.7142,44.71,61,20,10.4,few clouds
224,la ronge,CA,55.1001,-105.2842,57.45,38,20,2.3,few clouds
225,vanimo,PG,-2.6741,141.3028,76.21,89,58,5.99,broken clouds
226,kalevala,RU,65.2,31.1667,39.49,79,29,4.43,scattered clouds
227,masuguru,TZ,-11.3667,38.4167,75.07,59,45,6.49,scattered clouds
228,ugoofaaru,MV,5.6667,73.0,82.53,72,100,11.59,overcast clouds
229,mount isa,AU,-20.7333,139.5,62.37,51,19,2.3,few clouds
230,rawson,AR,-43.3002,-65.1023,59.79,59,100,22.41,overcast clouds
231,narsaq,GL,60.9167,-46.05,50.22,74,100,14.63,light rain
232,dolores,AR,-36.3132,-57.6792,54.75,89,93,12.48,overcast clouds
